# devnet-10: DigitalOcean droplet / terraform state name -> ansible inventory name.
# The left column is what the DO console and `terraform state list` show.
# Regenerated by scripts/gen-devnet10-inventory.py.
buildoor-lighthouse-geth-1	buildoor-prysm-geth-1
prysm-geth-45	prysm-geth-243
prysm-geth-46	prysm-geth-244
prysm-geth-47	prysm-geth-245
prysm-geth-48	prysm-geth-246
prysm-geth-49	prysm-geth-247
prysm-geth-5	prysm-geth-40
prysm-geth-50	prysm-geth-248
prysm-geth-51	prysm-geth-249
prysm-geth-52	prysm-geth-250
prysm-geth-53	prysm-geth-251
prysm-geth-54	prysm-geth-252
prysm-geth-55	prysm-geth-253
prysm-geth-56	prysm-geth-254
prysm-geth-57	prysm-geth-255
prysm-geth-58	prysm-geth-256
prysm-geth-59	prysm-geth-257
prysm-geth-6	prysm-geth-41
prysm-geth-60	prysm-geth-258
prysm-geth-61	prysm-geth-259
prysm-geth-62	prysm-geth-260
prysm-geth-63	prysm-geth-261
prysm-geth-64	prysm-geth-262
prysm-geth-65	prysm-geth-263
prysm-geth-66	prysm-geth-264
prysm-geth-67	prysm-geth-265
prysm-geth-68	prysm-geth-266
prysm-geth-69	prysm-geth-267
prysm-geth-7	prysm-geth-42
prysm-geth-70	prysm-geth-268
prysm-geth-71	prysm-geth-269
prysm-geth-72	prysm-geth-270
prysm-geth-73	prysm-geth-271
prysm-geth-74	prysm-geth-272
prysm-geth-75	prysm-geth-273
prysm-geth-76	prysm-geth-274
prysm-geth-77	prysm-geth-275
prysm-geth-78	prysm-geth-276
prysm-geth-79	prysm-geth-277
prysm-geth-8	prysm-geth-43
prysm-geth-80	prysm-geth-278
prysm-geth-81	prysm-geth-279
prysm-geth-82	prysm-geth-280
prysm-geth-83	prysm-geth-281
prysm-geth-84	prysm-geth-282
prysm-geth-85	prysm-geth-283
prysm-geth-86	prysm-geth-284
prysm-geth-87	prysm-geth-285
prysm-geth-88	prysm-geth-286
prysm-geth-89	prysm-geth-287
prysm-geth-9	prysm-geth-44
prysm-geth-90	prysm-geth-288
prysm-geth-91	prysm-geth-289
prysm-geth-92	prysm-geth-290
prysm-geth-93	prysm-geth-291
prysm-geth-94	prysm-geth-292
prysm-geth-95	prysm-geth-293
prysm-geth-96	prysm-geth-294
prysm-geth-97	prysm-geth-295
prysm-geth-98	prysm-geth-296
prysm-geth-99	prysm-geth-297
prysm-nethermind-1	prysm-nethermind-27
prysm-nethermind-10	prysm-nethermind-36
prysm-nethermind-11	prysm-nethermind-37
prysm-nethermind-12	prysm-nethermind-38
prysm-nethermind-13	prysm-nethermind-39
prysm-nethermind-14	prysm-nethermind-40
prysm-nethermind-15	prysm-nethermind-41
prysm-nethermind-16	prysm-nethermind-42
prysm-nethermind-17	prysm-nethermind-43
prysm-nethermind-18	prysm-nethermind-44
prysm-nethermind-19	prysm-nethermind-45
prysm-nethermind-2	prysm-nethermind-28
prysm-nethermind-20	prysm-nethermind-164
prysm-nethermind-21	prysm-nethermind-165
prysm-nethermind-22	prysm-nethermind-166
prysm-nethermind-23	prysm-nethermind-167
prysm-nethermind-24	prysm-nethermind-168
prysm-nethermind-25	prysm-nethermind-169
prysm-nethermind-26	prysm-nethermind-170
prysm-nethermind-27	prysm-nethermind-171
prysm-nethermind-28	prysm-nethermind-172
prysm-nethermind-29	prysm-nethermind-173
prysm-nethermind-3	prysm-nethermind-29
prysm-nethermind-30	prysm-nethermind-174
prysm-nethermind-31	prysm-nethermind-175
prysm-nethermind-32	prysm-nethermind-176
prysm-nethermind-33	prysm-nethermind-177
prysm-nethermind-34	prysm-nethermind-178
prysm-nethermind-35	prysm-nethermind-179
prysm-nethermind-36	prysm-nethermind-180
prysm-nethermind-37	prysm-nethermind-181
prysm-nethermind-38	prysm-nethermind-182
prysm-nethermind-39	prysm-nethermind-183
prysm-nethermind-4	prysm-nethermind-30
prysm-nethermind-40	prysm-nethermind-184
prysm-nethermind-41	prysm-nethermind-185
prysm-nethermind-42	prysm-nethermind-186
prysm-nethermind-43	prysm-nethermind-187
prysm-nethermind-44	prysm-nethermind-188
prysm-nethermind-45	prysm-nethermind-189
prysm-nethermind-46	prysm-nethermind-190
prysm-nethermind-47	prysm-nethermind-191
prysm-nethermind-48	prysm-nethermind-192
prysm-nethermind-49	prysm-nethermind-193
prysm-nethermind-5	prysm-nethermind-31
prysm-nethermind-50	prysm-nethermind-194
prysm-nethermind-51	prysm-nethermind-195
prysm-nethermind-52	prysm-nethermind-196
prysm-nethermind-53	prysm-nethermind-197
prysm-nethermind-54	prysm-nethermind-198
prysm-nethermind-55	prysm-nethermind-199
prysm-nethermind-56	prysm-nethermind-200
prysm-nethermind-57	prysm-nethermind-201
prysm-nethermind-58	prysm-nethermind-202
prysm-nethermind-59	prysm-nethermind-203
prysm-nethermind-6	prysm-nethermind-32
prysm-nethermind-60	prysm-nethermind-204
prysm-nethermind-61	prysm-nethermind-205
prysm-nethermind-62	prysm-nethermind-206
prysm-nethermind-63	prysm-nethermind-207
prysm-nethermind-64	prysm-nethermind-208
prysm-nethermind-65	prysm-nethermind-209
prysm-nethermind-66	prysm-nethermind-210
prysm-nethermind-67	prysm-nethermind-211
prysm-nethermind-68	prysm-nethermind-212
prysm-nethermind-69	prysm-nethermind-213
prysm-nethermind-7	prysm-nethermind-33
prysm-nethermind-70	prysm-nethermind-214
prysm-nethermind-71	prysm-nethermind-215
prysm-nethermind-72	prysm-nethermind-216
prysm-nethermind-73	prysm-nethermind-217
prysm-nethermind-74	prysm-nethermind-218
prysm-nethermind-75	prysm-nethermind-219
prysm-nethermind-76	prysm-nethermind-220
prysm-nethermind-77	prysm-nethermind-221
prysm-nethermind-78	prysm-nethermind-222
prysm-nethermind-79	prysm-nethermind-223
prysm-nethermind-8	prysm-nethermind-34
prysm-nethermind-80	prysm-nethermind-224
prysm-nethermind-81	prysm-nethermind-225
prysm-nethermind-82	prysm-nethermind-226
prysm-nethermind-83	prysm-nethermind-227
prysm-nethermind-84	prysm-nethermind-228
prysm-nethermind-85	prysm-nethermind-229
prysm-nethermind-86	prysm-nethermind-230
prysm-nethermind-87	prysm-nethermind-231
prysm-nethermind-88	prysm-nethermind-232
prysm-nethermind-89	prysm-nethermind-233
prysm-nethermind-9	prysm-nethermind-35
prysm-nethermind-90	prysm-nethermind-234
prysm-nethermind-91	prysm-nethermind-235
prysm-nethermind-92	prysm-nethermind-236
prysm-nethermind-93	prysm-nethermind-237
prysm-nimbusel-1	prysm-nimbusel-2
prysm-nimbusel-2	prysm-nimbusel-6
prysm-nimbusel-3	prysm-nimbusel-7
prysm-reth-1	prysm-reth-13
prysm-reth-10	prysm-reth-77
prysm-reth-11	prysm-reth-78
prysm-reth-12	prysm-reth-79
prysm-reth-13	prysm-reth-80
prysm-reth-14	prysm-reth-81
prysm-reth-15	prysm-reth-82
prysm-reth-16	prysm-reth-83
prysm-reth-17	prysm-reth-84
prysm-reth-18	prysm-reth-85
prysm-reth-19	prysm-reth-86
prysm-reth-2	prysm-reth-14
prysm-reth-20	prysm-reth-87
prysm-reth-21	prysm-reth-88
prysm-reth-22	prysm-reth-89
prysm-reth-23	prysm-reth-90
prysm-reth-24	prysm-reth-91
prysm-reth-25	prysm-reth-92
prysm-reth-26	prysm-reth-93
prysm-reth-27	prysm-reth-94
prysm-reth-28	prysm-reth-95
prysm-reth-29	prysm-reth-96
prysm-reth-3	prysm-reth-15
prysm-reth-30	prysm-reth-97
prysm-reth-31	prysm-reth-98
prysm-reth-32	prysm-reth-99
prysm-reth-33	prysm-reth-100
prysm-reth-34	prysm-reth-101
prysm-reth-35	prysm-reth-102
prysm-reth-36	prysm-reth-103
prysm-reth-37	prysm-reth-104
prysm-reth-38	prysm-reth-105
prysm-reth-39	prysm-reth-106
prysm-reth-4	prysm-reth-16
prysm-reth-40	prysm-reth-107
prysm-reth-41	prysm-reth-108
prysm-reth-42	prysm-reth-109
prysm-reth-43	prysm-reth-110
prysm-reth-44	prysm-reth-111
prysm-reth-5	prysm-reth-17
prysm-reth-6	prysm-reth-18
prysm-reth-7	prysm-reth-19
prysm-reth-8	prysm-reth-20
prysm-reth-9	prysm-reth-21
teku-besu-1	prysm-besu-13
teku-besu-10	prysm-besu-72
teku-besu-11	prysm-besu-73
teku-besu-2	prysm-besu-14
teku-besu-3	prysm-besu-65
teku-besu-4	prysm-besu-66
teku-besu-5	prysm-besu-67
teku-besu-6	prysm-besu-68
teku-besu-7	prysm-besu-69
teku-besu-8	prysm-besu-70
teku-besu-9	prysm-besu-71
teku-erigon-1	prysm-erigon-6
teku-erigon-2	prysm-erigon-33
teku-erigon-3	prysm-erigon-34
teku-erigon-4	prysm-erigon-35
teku-erigon-5	prysm-erigon-36
teku-erigon-6	prysm-erigon-37
teku-ethrex-1	prysm-ethrex-4
teku-ethrex-2	prysm-ethrex-17
teku-geth-1	prysm-geth-61
teku-geth-10	prysm-geth-70
teku-geth-11	prysm-geth-71
teku-geth-12	prysm-geth-326
teku-geth-13	prysm-geth-327
teku-geth-14	prysm-geth-328
teku-geth-15	prysm-geth-329
teku-geth-16	prysm-geth-330
teku-geth-17	prysm-geth-331
teku-geth-18	prysm-geth-332
teku-geth-19	prysm-geth-333
teku-geth-2	prysm-geth-62
teku-geth-20	prysm-geth-334
teku-geth-21	prysm-geth-335
teku-geth-22	prysm-geth-336
teku-geth-23	prysm-geth-337
teku-geth-24	prysm-geth-338
teku-geth-25	prysm-geth-339
teku-geth-26	prysm-geth-340
teku-geth-27	prysm-geth-341
teku-geth-28	prysm-geth-342
teku-geth-29	prysm-geth-343
teku-geth-3	prysm-geth-63
teku-geth-30	prysm-geth-344
teku-geth-31	prysm-geth-345
teku-geth-32	prysm-geth-346
teku-geth-33	prysm-geth-347
teku-geth-34	prysm-geth-348
teku-geth-35	prysm-geth-349
teku-geth-36	prysm-geth-350
teku-geth-37	prysm-geth-351
teku-geth-38	prysm-geth-352
teku-geth-39	prysm-geth-353
teku-geth-4	prysm-geth-64
teku-geth-40	prysm-geth-354
teku-geth-41	prysm-geth-355
teku-geth-42	prysm-geth-356
teku-geth-43	prysm-geth-357
teku-geth-44	prysm-geth-358
teku-geth-45	prysm-geth-359
teku-geth-46	prysm-geth-360
teku-geth-47	prysm-geth-361
teku-geth-48	prysm-geth-362
teku-geth-49	prysm-geth-363
teku-geth-5	prysm-geth-65
teku-geth-50	prysm-geth-364
teku-geth-51	prysm-geth-365
teku-geth-52	prysm-geth-366
teku-geth-53	prysm-geth-367
teku-geth-54	prysm-geth-368
teku-geth-55	prysm-geth-369
teku-geth-56	prysm-geth-370
teku-geth-57	prysm-geth-371
teku-geth-6	prysm-geth-66
teku-geth-7	prysm-geth-67
teku-geth-8	prysm-geth-68
teku-geth-9	prysm-geth-69
teku-nethermind-1	prysm-nethermind-46
teku-nethermind-10	prysm-nethermind-239
teku-nethermind-11	prysm-nethermind-240
teku-nethermind-12	prysm-nethermind-241
teku-nethermind-13	prysm-nethermind-242
teku-nethermind-14	prysm-nethermind-243
teku-nethermind-15	prysm-nethermind-244
teku-nethermind-16	prysm-nethermind-245
teku-nethermind-17	prysm-nethermind-246
teku-nethermind-18	prysm-nethermind-247
teku-nethermind-19	prysm-nethermind-248
teku-nethermind-2	prysm-nethermind-47
teku-nethermind-20	prysm-nethermind-249
teku-nethermind-21	prysm-nethermind-250
teku-nethermind-22	prysm-nethermind-251
teku-nethermind-23	prysm-nethermind-252
teku-nethermind-24	prysm-nethermind-253
teku-nethermind-25	prysm-nethermind-254
teku-nethermind-26	prysm-nethermind-255
teku-nethermind-27	prysm-nethermind-256
teku-nethermind-28	prysm-nethermind-257
teku-nethermind-29	prysm-nethermind-258
teku-nethermind-3	prysm-nethermind-48
teku-nethermind-30	prysm-nethermind-259
teku-nethermind-31	prysm-nethermind-260
teku-nethermind-32	prysm-nethermind-261
teku-nethermind-33	prysm-nethermind-262
teku-nethermind-34	prysm-nethermind-263
teku-nethermind-35	prysm-nethermind-264
teku-nethermind-36	prysm-nethermind-265
teku-nethermind-37	prysm-nethermind-266
teku-nethermind-38	prysm-nethermind-267
teku-nethermind-39	prysm-nethermind-268
teku-nethermind-4	prysm-nethermind-49
teku-nethermind-40	prysm-nethermind-269
teku-nethermind-41	prysm-nethermind-270
teku-nethermind-42	prysm-nethermind-271
teku-nethermind-5	prysm-nethermind-50
teku-nethermind-6	prysm-nethermind-51
teku-nethermind-7	prysm-nethermind-52
teku-nethermind-8	prysm-nethermind-53
teku-nethermind-9	prysm-nethermind-238
teku-nimbusel-1	prysm-nimbusel-8
teku-nimbusel-2	prysm-nimbusel-9
teku-reth-1	prysm-reth-22
teku-reth-10	prysm-reth-117
teku-reth-11	prysm-reth-118
teku-reth-12	prysm-reth-119
teku-reth-13	prysm-reth-120
teku-reth-14	prysm-reth-121
teku-reth-15	prysm-reth-122
teku-reth-16	prysm-reth-123
teku-reth-17	prysm-reth-124
teku-reth-18	prysm-reth-125
teku-reth-19	prysm-reth-126
teku-reth-2	prysm-reth-23
teku-reth-20	prysm-reth-127
teku-reth-3	prysm-reth-24
teku-reth-4	prysm-reth-25
teku-reth-5	prysm-reth-112
teku-reth-6	prysm-reth-113
teku-reth-7	prysm-reth-114
teku-reth-8	prysm-reth-115
teku-reth-9	prysm-reth-116
